id,full_name,first_name,last_name,email,phone,city,country,android,iphone,desktop,transfers_in,transfers_out,transactions
79,Vivian Peterson,Vivian,Peterson,Vivian.Peterson@example.com,598-995-3909,San Francisco,USA,1,0,0,[],[],[]
80,Cheryl Owens,Cheryl,Owens,Cheryl.Owens@example.com,812-775-9881,San Francisco,USA,1,1,0,[123],[],[]
81,Ahmad Castro,Ahmad,Castro,Ahmad.Castro@example.com,629-807-5687,San Francisco,USA,1,0,0,[],[],[117]
82,Casper Freeman,Casper,Freeman,Casper.Freeman@example.com,932-653-8020,San Diego,USA,1,0,0,[],"[292, 190]",[]
83,Zachery Brennan,Zachery,Brennan,Zachery.Brennan@example.com,323-591-3874,San Francisco,USA,1,0,0,[],[37],[]
84,Safia Ayers,Safia,Ayers,Safia.Ayers@example.com,512-649-7865,San Francisco,USA,0,1,0,[11],[336],[]
85,Clarence Hanson,Clarence,Hanson,Clarence.Hanson@example.com,743-908-5464,Chicago,USA,1,1,0,[],"[410, 279]","[78, 86]"
86,Douglas Browning,Douglas,Browning,Douglas.Browning@example.com,247-523-1403,New York,USA,1,0,0,[],[],"[45, 124]"
87,Rahim Cuevas,Rahim,Cuevas,Rahim.Cuevas@example.com,300-879-5941,Los Angeles,USA,0,1,0,[],[],[]
88,Humza Velez,Humza,Velez,Humza.Velez@example.com,931-502-4660,New York,USA,0,1,1,[495],[],[]
89,Everett Fitzpatrick,Everett,Fitzpatrick,Everett.Fitzpatrick@example.com,520-305-7264,New York,USA,0,1,0,[],[353],[11]
90,Anas Blevins,Anas,Blevins,Anas.Blevins@example.com,138-515-3364,San Diego,USA,1,1,1,[],[],[]
91,Amir Clark,Amir,Clark,Amir.Clark@example.com,924-287-4068,London,United Kingdom,1,1,1,[],[],[]
92,Mohamed Barr,Mohamed,Barr,Mohamed.Barr@example.com,604-185-7149,San Francisco,USA,1,0,0,[],[],[]
93,Elif Khan,Elif,Khan,Elif.Khan@example.com,686-123-8571,New York,USA,1,0,1,[],[237],[]
94,Mia Horne,Mia,Horne,Mia.Horne@example.com,667-185-1569,Los Angeles,USA,1,1,1,[],[46],[]
95,Miles Fisher,Miles,Fisher,Miles.Fisher@example.com,702-511-6770,San Diego,USA,1,1,1,[312],[],[]
96,Nadia Neal,Nadia,Neal,Nadia.Neal@example.com,255-874-4270,New York,USA,1,1,1,"[504, 473]",[],[]
97,Alastair Buckley,Alastair,Buckley,Alastair.Buckley@example.com,776-243-3725,San Diego,USA,1,0,0,[],[],[28]
98,Traci Banks,Traci,Banks,Traci.Banks@example.com,313-374-6903,San Francisco,USA,1,1,0,"[296, 10]",[],[]
99,Colby Hart,Colby,Hart,Colby.Hart@example.com,900-712-6799,San Francisco,USA,1,0,1,[],[],[]
100,Usman Swanson,Usman,Swanson,Usman.Swanson@example.com,431-103-9132,London,United Kingdom,1,1,1,[],[478],[]
101,Michelle Love,Michelle,Love,Michelle.Love@example.com,672-651-8173,New York,USA,1,1,0,[],[],[]
102,Alina Walls,Alina,Walls,Alina.Walls@example.com,507-883-4629,Chicago,USA,1,0,0,"[106, 143]",[],[96]
103,Caspar Hudson,Caspar,Hudson,Caspar.Hudson@example.com,830-584-4874,Toronto,Canada,0,1,0,[],[357],[]
104,Chelsea Wyatt,Chelsea,Wyatt,Chelsea.Wyatt@example.com,750-801-9657,San Diego,USA,0,1,1,[19],[],[]
105,Franklin Conway,Franklin,Conway,Franklin.Conway@example.com,768-545-4465,San Diego,USA,1,0,1,"[387, 30]",[360],[]
106,Ruth Andrews,Ruth,Andrews,Ruth.Andrews@example.com,159-468-6067,Chicago,USA,0,1,1,[],[],[]
107,Polly Reyes,Polly,Reyes,Polly.Reyes@example.com,296-740-3450,San Diego,USA,0,1,0,[],[],[]
108,Mohsin Tucker,Mohsin,Tucker,Mohsin.Tucker@example.com,174-389-8757,Toronto,Canada,0,0,1,"[170, 396, 477]","[305, 363, 420]",[]
109,Huw Valentine,Huw,Valentine,Huw.Valentine@example.com,441-847-1955,Chicago,USA,0,1,1,"[250, 325]",[],"[16, 95]"
110,Pearl Perez,Pearl,Perez,Pearl.Perez@example.com,947-926-6369,San Francisco,USA,0,1,0,[203],"[58, 147]",[]
111,Harriett Mccoy,Harriett,Mccoy,Harriett.Mccoy@example.com,956-438-3865,San Francisco,USA,1,1,1,[],"[347, 19]",[]
112,Aiden Galvan,Aiden,Galvan,Aiden.Galvan@example.com,559-282-1575,San Diego,USA,0,0,1,[],[208],[]
113,Kaan Miranda,Kaan,Miranda,Kaan.Miranda@example.com,940-569-5175,San Francisco,USA,1,0,0,[304],[],[]
114,Laurie Melendez,Laurie,Melendez,Laurie.Melendez@example.com,488-382-1416,Toronto,Canada,0,1,1,[],[],[]
115,Tanya Watson,Tanya,Watson,Tanya.Watson@example.com,432-515-4933,Montreal,Canada,1,1,0,[],[],[]
116,Gerard Vargas,Gerard,Vargas,Gerard.Vargas@example.com,663-149-3581,San Diego,USA,1,1,1,[],"[240, 324]",[93]
117,Priya Moore,Priya,Moore,Priya.Moore@example.com,455-692-4736,Paris,France,0,0,1,[],[],[]
118,Sean Bolton,Sean,Bolton,Sean.Bolton@example.com,222-241-5406,Los Angeles,USA,1,1,0,"[360, 181]",[251],[]
119,Arron Peck,Arron,Peck,Arron.Peck@example.com,226-392-7970,Paris,France,1,1,0,[421],[],[]
120,Justin Rowland,Justin,Rowland,Justin.Rowland@example.com,665-725-2354,Paris,France,1,1,0,[],[],[]
121,Jasper Brandt,Jasper,Brandt,Jasper.Brandt@example.com,527-756-7352,London,United Kingdom,0,0,1,[],[],[]
122,Teresa Mccarty,Teresa,Mccarty,Teresa.Mccarty@example.com,223-114-4003,Toronto,Canada,0,1,1,[],[],[]
123,Finnian Fisher,Finnian,Fisher,Finnian.Fisher@example.com,382-879-9946,Toronto,Canada,1,1,0,[228],[],[]
124,Carol York,Carol,York,Carol.York@example.com,402-586-5192,San Diego,USA,1,0,0,[],[318],[66]
125,Nora Ball,Nora,Ball,Nora.Ball@example.com,921-528-9551,Barcelona,Spain,0,0,1,[],[],[]
126,Bessie Cole,Bessie,Cole,Bessie.Cole@example.com,424-390-3432,San Diego,USA,0,1,0,[],[],[50]
127,Zoya Giles,Zoya,Giles,Zoya.Giles@example.com,301-750-7631,Toronto,Canada,1,1,0,[],[217],[]
128,Malik Cuevas,Malik,Cuevas,Malik.Cuevas@example.com,935-337-2537,San Diego,USA,1,0,0,[],[],[]
129,Alejandro Duncan,Alejandro,Duncan,Alejandro.Duncan@example.com,487-150-9471,London,United Kingdom,0,0,1,[478],[],[]
130,Zohaib Hartman,Zohaib,Hartman,Zohaib.Hartman@example.com,928-400-6426,Montreal,Canada,0,0,1,"[476, 420, 461]",[242],[]
131,Alivia Armstrong,Alivia,Armstrong,Alivia.Armstrong@example.com,398-367-7522,Chicago,USA,0,1,0,[],[],[]
132,Tina Powell,Tina,Powell,Tina.Powell@example.com,372-218-6551,New York,USA,1,0,1,[87],[],[15]
133,Zack Mcclain,Zack,Mcclain,Zack.Mcclain@example.com,586-280-9496,New York,USA,0,1,0,[],[],[]
134,Lydia Chan,Lydia,Chan,Lydia.Chan@example.com,649-585-3076,San Francisco,USA,0,1,1,[],[],[]
135,Bertie Ward,Bertie,Ward,Bertie.Ward@example.com,971-922-8663,Montreal,Canada,1,0,1,"[332, 341]",[],[]
136,Hafsah Booker,Hafsah,Booker,Hafsah.Booker@example.com,731-730-2543,New York,USA,0,1,1,[],[],[34]
137,India Simmons,India,Simmons,India.Simmons@example.com,605-920-3435,San Diego,USA,1,1,0,[190],"[155, 511]",[]
138,Adnan Allen,Adnan,Allen,Adnan.Allen@example.com,561-365-7378,Chicago,USA,1,0,1,[],[314],[]
139,Kamran Wilcox,Kamran,Wilcox,Kamran.Wilcox@example.com,476-365-7838,London,United Kingdom,1,0,1,[],[],[]
140,Gary Hutchinson,Gary,Hutchinson,Gary.Hutchinson@example.com,245-506-5389,San Francisco,USA,1,0,0,[156],[],[102]
141,Adriana Stafford,Adriana,Stafford,Adriana.Stafford@example.com,473-741-6496,Montreal,Canada,0,1,0,[],[431],[]
142,Everly Fuentes,Everly,Fuentes,Everly.Fuentes@example.com,398-369-8927,Barcelona,Spain,1,0,0,[],[513],[]
143,Ian Ho,Ian,Ho,Ian.Ho@example.com,586-175-1970,San Francisco,USA,1,0,0,[],[],[]
144,Emelia Page,Emelia,Page,Emelia.Page@example.com,929-575-4315,San Francisco,USA,0,1,1,[],"[8, 114]",[]
145,Elijah Castaneda,Elijah,Castaneda,Elijah.Castaneda@example.com,354-709-5741,Chicago,USA,0,0,1,[],[],[]
146,Edith Walker,Edith,Walker,Edith.Walker@example.com,805-146-4773,Los Angeles,USA,0,1,0,[],[234],"[41, 105]"
147,Eleanor Mcintosh,Eleanor,Mcintosh,Eleanor.Mcintosh@example.com,153-538-3431,Toronto,Canada,1,0,0,[354],"[195, 165]",[]
148,Maksymilian Crosby,Maksymilian,Crosby,Maksymilian.Crosby@example.com,298-837-9139,New York,USA,1,0,0,[],[],[]
149,Abdirahman Mullen,Abdirahman,Mullen,Abdirahman.Mullen@example.com,669-442-8257,Toronto,Canada,1,1,1,[245],[],[]
150,Mariah Castro,Mariah,Castro,Mariah.Castro@example.com,866-155-1011,New York,USA,1,1,0,[],[],[107]
151,Laiba Ingram,Laiba,Ingram,Laiba.Ingram@example.com,780-200-2871,San Diego,USA,0,1,1,[],[],[]
152,Matteo Moon,Matteo,Moon,Matteo.Moon@example.com,830-546-5378,London,United Kingdom,1,1,0,[],[],[]
153,Blaine Boyer,Blaine,Boyer,Blaine.Boyer@example.com,411-997-1636,London,United Kingdom,0,0,1,[],[],[]
154,Thomas English,Thomas,English,Thomas.English@example.com,891-190-2889,New York,USA,0,0,1,[],[199],[]
155,Lochlan Fitzgerald,Lochlan,Fitzgerald,Lochlan.Fitzgerald@example.com,762-973-4444,San Francisco,USA,0,0,1,[],[],[]
156,Alia Brooks,Alia,Brooks,Alia.Brooks@example.com,327-292-8469,Montreal,Canada,1,0,1,[],[335],[]
157,Aimee Duffy,Aimee,Duffy,Aimee.Duffy@example.com,856-144-7655,San Diego,USA,1,1,0,[200],[],[]
158,Ethan Price,Ethan,Price,Ethan.Price@example.com,558-134-7531,Los Angeles,USA,1,1,1,[],[],[65]
159,Will Santana,Will,Santana,Will.Santana@example.com,460-231-8743,Los Angeles,USA,1,0,1,[],[],[]
160,Alessia Watts,Alessia,Watts,Alessia.Watts@example.com,619-580-5165,New York,USA,1,0,0,[71],[],[]
161,Eliza Gordon,Eliza,Gordon,Eliza.Gordon@example.com,805-946-7433,Los Angeles,USA,1,0,0,[505],[],[]
162,Martina Boyle,Martina,Boyle,Martina.Boyle@example.com,145-824-4775,Los Angeles,USA,0,0,1,"[246, 526]",[],[]
163,Talha Austin,Talha,Austin,Talha.Austin@example.com,279-345-3532,New York,USA,0,1,1,"[128, 373]",[197],[]
164,Herman Knowles,Herman,Knowles,Herman.Knowles@example.com,130-936-8674,Los Angeles,USA,0,1,1,[],[],[]
165,Amira Berg,Amira,Berg,Amira.Berg@example.com,627-954-8991,Chicago,USA,1,1,0,[362],[],[146]
166,Darcie Lane,Darcie,Lane,Darcie.Lane@example.com,899-901-3539,Los Angeles,USA,1,0,0,[],[],[]
167,Kurtis Marks,Kurtis,Marks,Kurtis.Marks@example.com,690-396-3965,Montreal,Canada,0,0,1,[],[],[]
168,Josie Pham,Josie,Pham,Josie.Pham@example.com,202-569-8234,San Diego,USA,1,1,1,[],[],[]
169,Katy Harrington,Katy,Harrington,Katy.Harrington@example.com,645-829-7495,San Francisco,USA,0,1,0,[208],[],"[9, 57]"
170,Macie Payne,Macie,Payne,Macie.Payne@example.com,782-737-6408,New York,USA,1,0,0,[],[],[]
171,Patrick Morse,Patrick,Morse,Patrick.Morse@example.com,220-102-3684,New York,USA,1,1,0,"[65, 458]",[],[40]
172,Nathaniel Gonzalez,Nathaniel,Gonzalez,Nathaniel.Gonzalez@example.com,421-145-6627,Chicago,USA,0,0,1,[],[250],[]
173,Enya Hernandez,Enya,Hernandez,Enya.Hernandez@example.com,406-397-1498,Barcelona,Spain,0,1,0,"[424, 510]",[448],[]
174,Kiera Cotton,Kiera,Cotton,Kiera.Cotton@example.com,254-627-7406,Los Angeles,USA,1,0,0,[],[],[76]
175,Tia Potter,Tia,Potter,Tia.Potter@example.com,137-491-6519,New York,USA,1,1,0,[],[],[92]
176,Melvin Flores,Melvin,Flores,Melvin.Flores@example.com,708-692-8746,London,United Kingdom,0,1,1,[],[],[]
177,Hassan Kemp,Hassan,Kemp,Hassan.Kemp@example.com,131-471-2639,San Diego,USA,0,0,1,[8],[76],[]
178,Jenson Carver,Jenson,Carver,Jenson.Carver@example.com,128-789-4202,Chicago,USA,0,1,1,[],[],[]
179,Aminah Wells,Aminah,Wells,Aminah.Wells@example.com,950-639-9777,Chicago,USA,1,1,1,[],[434],[46]
180,Dhruv Villarreal,Dhruv,Villarreal,Dhruv.Villarreal@example.com,931-559-3083,London,United Kingdom,1,0,1,[],[],[]
181,Rhodri Kelley,Rhodri,Kelley,Rhodri.Kelley@example.com,106-651-2649,Los Angeles,USA,0,1,0,[],[],[]
182,Luqman Carrillo,Luqman,Carrillo,Luqman.Carrillo@example.com,124-533-2523,New York,USA,1,0,0,[],[],[72]
183,Ishaan Stevenson,Ishaan,Stevenson,Ishaan.Stevenson@example.com,631-367-5233,San Francisco,USA,0,0,1,[],[],[]
184,David Bridges,David,Bridges,David.Bridges@example.com,946-447-2454,New York,USA,0,1,0,"[306, 498, 117]",[423],[75]
185,Milton Carlson,Milton,Carlson,Milton.Carlson@example.com,344-559-6014,Los Angeles,USA,0,0,1,[],"[232, 373]",[]
186,Gareth Sutherland,Gareth,Sutherland,Gareth.Sutherland@example.com,471-744-7605,San Diego,USA,1,0,0,[],[],[]
187,Andre Long,Andre,Long,Andre.Long@example.com,883-691-2967,San Francisco,USA,0,1,1,"[113, 20]",[],[]
188,Ridwan Houston,Ridwan,Houston,Ridwan.Houston@example.com,530-308-5425,London,United Kingdom,0,0,1,[],[],[]
189,Darcey Whitney,Darcey,Whitney,Darcey.Whitney@example.com,483-860-2350,San Francisco,USA,1,1,1,[],[223],[]
190,Charlotte Baxter,Charlotte,Baxter,Charlotte.Baxter@example.com,757-193-7348,San Francisco,USA,1,0,1,[349],[],[]
191,Damon Bullock,Damon,Bullock,Damon.Bullock@example.com,130-864-9453,Chicago,USA,1,0,1,[410],"[489, 102]",[]
192,Leonie Sanders,Leonie,Sanders,Leonie.Sanders@example.com,248-366-9279,Chicago,USA,1,1,0,[391],[450],[]
193,Susie Gibbons,Susie,Gibbons,Susie.Gibbons@example.com,194-777-4804,Los Angeles,USA,1,1,1,[163],"[265, 302]",[]
194,Fynn Graham,Fynn,Graham,Fynn.Graham@example.com,763-842-3292,Toronto,Canada,1,1,0,[],[],[]
195,Jorge Maldonado,Jorge,Maldonado,Jorge.Maldonado@example.com,220-296-3772,San Diego,USA,1,0,1,[],[408],[149]
196,Alanna Stephens,Alanna,Stephens,Alanna.Stephens@example.com,710-282-8586,Chicago,USA,0,1,0,[],[149],[]
197,Tiago Dunn,Tiago,Dunn,Tiago.Dunn@example.com,728-796-4352,San Diego,USA,1,1,0,[],[436],[120]
198,Zakir Russell,Zakir,Russell,Zakir.Russell@example.com,599-588-9264,Toronto,Canada,0,1,1,[],[267],[]
199,Asa Haines,Asa,Haines,Asa.Haines@example.com,327-464-5734,London,United Kingdom,1,1,0,[],[],[]
200,Eesa Buchanan,Eesa,Buchanan,Eesa.Buchanan@example.com,533-397-5445,London,United Kingdom,1,1,0,[],[],[]
201,Conor Rush,Conor,Rush,Conor.Rush@example.com,663-671-4088,New York,USA,0,1,0,[],[],[]
202,Kabir Stewart,Kabir,Stewart,Kabir.Stewart@example.com,891-887-3513,San Francisco,USA,1,0,1,[],[167],"[12, 36]"
203,Lili Patel,Lili,Patel,Lili.Patel@example.com,823-509-3052,Montreal,Canada,1,0,1,[],[],[]
204,Philippa Webster,Philippa,Webster,Philippa.Webster@example.com,407-892-7705,Toronto,Canada,1,0,0,[201],[],[]
205,Zoe Newman,Zoe,Newman,Zoe.Newman@example.com,620-765-4496,San Francisco,USA,0,1,1,[],[398],[]
206,Azaan Roth,Azaan,Roth,Azaan.Roth@example.com,130-119-2032,Los Angeles,USA,1,1,0,[79],[75],[]
207,Mark Friedman,Mark,Friedman,Mark.Friedman@example.com,111-862-3502,San Diego,USA,1,0,1,[],[],[70]
208,Jessie Greer,Jessie,Greer,Jessie.Greer@example.com,950-317-1709,London,United Kingdom,1,1,1,[],[],[]
209,Eliot Stokes,Eliot,Stokes,Eliot.Stokes@example.com,864-975-1957,Los Angeles,USA,0,1,0,[],[372],[]
210,Alessia Jenkins,Alessia,Jenkins,Alessia.Jenkins@example.com,547-388-2503,Chicago,USA,0,1,0,[],[],[142]
211,Gerard Francis,Gerard,Francis,Gerard.Francis@example.com,958-724-3846,Chicago,USA,1,1,1,[331],[509],[77]
212,Angela Lynch,Angela,Lynch,Angela.Lynch@example.com,227-737-8739,San Francisco,USA,1,1,0,[70],[],[54]
213,Kyran Wyatt,Kyran,Wyatt,Kyran.Wyatt@example.com,778-841-9881,Montreal,Canada,1,1,0,[],[358],[]
214,Eugene Taylor,Eugene,Taylor,Eugene.Taylor@example.com,712-926-3402,Toronto,Canada,0,1,0,[427],[418],[]
215,Katerina Turner,Katerina,Turner,Katerina.Turner@example.com,753-511-5460,San Francisco,USA,0,1,1,[],[430],[]
216,Nataniel Nunez,Nataniel,Nunez,Nataniel.Nunez@example.com,202-158-5194,New York,USA,0,0,1,[365],[],[]
